Movie_ID,Title,Director,Cast,Year,Genre
83768163,Jotil Prem,Shaheen Sumon,"Bappy Chowdhury, Achol, Ilias Kanchan, Champa, Misha Sawdagor",2013,Romance
83768164,Eito Bhalobasha,Shahin Kabir Tutul,"Mamnun Hasan Emon, Nirob, Nipun Akter, Siddiqur Rahman",2013,"Comedy, Romance"
83768165,Nishpap Munna,Badiul Alam Khokon,"Shakib Khan, Sahara, Misha Sawdagor, Bapparaz",2013,"Action, Romance"
83768166,Romeo 2013,Raju Chowdhury,"Bappy Chowdhury, Sara Jerin",2013,Romance
83768167,PoraMon,Jakir Hossain Raju,"Symon Sadik, Mahiya Mahi, Ali Raz, Anisur Rahman Milon, Misha Sawdagor",2013,Romance
83768168,Prem Prem Paglaami,Shafi Uddin Shafi,"Bappy Chowdhury, Achol, Amit Hasan, Kazi Hayat",2013,Romance
83768169,Tomar Majhe Ami,Shafiqul Islam Sohel,"Nirab, Toma Mirza, Sadeq Bacchu",2013,Romance
83768170,Kajoler Din Ratri,Sajal Khaled,"Tarin, Iresh Zaker",2013,Drama
83768171,Nishwartha Bhalobasa,Ananta Jalil,"Ananta Jalil, Afiea Nusrat Barsha, Razzak, Misha Sawdagor",2013,"Romance, Action"
83768172,My Name Is Khan,Badiul Alam Khokon,"Shakib Khan, Apu Biswas, Prabir Mitra, Misha Sawdagor",2013,"Action, Romance"
83768173,Bhalobasha Aaj Kal,P.A Kajal,"Shakib Khan, Mahiya Mahi, Misha Sawdagor, Kabila, Ali Raz",2013,"Romance, Comedy"
83768174,Ek Paye Nupur,Babul Reza,"Aman, Anna, Amir Siraji, Gulshan Ara",2013,Romance
83768175,Er Beshi Bhalobasha Jay Na,Jakir Hossain Raju,"Symon Sadik, Nijhum, Sohel Khan",2013,Romance
83768176,Kumari Maa,Shahdat Hossain Liton,"Nirab Hossain, Tuli, Asif Iqbal, Munmun",2013,"Romance, Drama"
83768177,Notun Shat Bhai Champa,Mizanur Rahman,"Sheikh Mizan, Karishma",2013,Drama
83768178,Eve Teasing,Kazi Hayat,"Kazi Maruf, Toma Mirza, Kazi Hayat",2013,"Action, Drama"
83768179,Mrittika Maya,Gazi Rakayet,"Raisul Islam Asad, Pijush Bandhapaddhay, Mamunur Rashid,",2013,Drama
83768180,Dhaka to Bombay,Uttam Akash,"Shakib Khan, Sahara, Omar Sani, Suchorita",2013,"Action, Drama"
83768181,Rupgawal,Habibur Rahman Habib,"Masum Aziz, Niloy Alamgir, Shimla, Champa",2013,"Drama, Romance"
83768182,Mon Tor Jonno Pagol,Hanif Reza Milon,"Kayes Arju, Sanjana, Habib Khan",2013,Romance
83768183,Kisu Asha Kisu Bhalobasha,Mostafizur Rahman Manik,"Ferdous Ahmed, Moushumi, Shabnur, Happy",2013,Romance
83768184,Banglar Paglu,Kishor Saha,"Abhi, Priyanka, Kabila, Aritra",2013,"Action, Romance"
83768185,Tobuo Bhalobashi,Montazur Rahman Akbar,"Bappy Chowdhury, Mahiya Mahi, Sohel Rana, Amit Hasan, Parveen Sultana Diti",2013,Romance
83768186,Udhao - Runaway,Amit Ashraf,"Monir Ahmed,Nawshaba Ahmed, Shahed Ali, Animesh Aich",2013,"Crime, Drama"
83768187,Purno Doirgho Prem Kahini,Shafi Uddin Shafi,"Shakib Khan, Joya Ahsan, Arifin Shuvoo",2013,Romance
83768188,Full and Final,Malek Afsari,"Shakib Khan, Bobby, Amit Hasan",2013,Action
83768189,Premik Number One,Rokibul Islam Rokib,"Shakib Khan, Apu Biswas, Nipun Akter, Dilip Chakrabarty, Bobita, Milon",2013,Romance
83768190,Ki Prem Dekhaila,Shah Muhammad Songhram,"Bappy Chowdhury, Achol, Ali Raz, Bobita",2013,Romance
83768191,Anishchit Jatra,Belal Ahmed,"Abul Kalam Azad, Momena Chowdhury, Dilip Chakrabarty, Anisur Rahman Milon",2013,Drama
83768192,Akoi Britte,Kazi Morshed,"Najnin Chumki, Tauquir Ahmed, Khalil, Raisul Islam Asad, Dolly Jahur",2013,Drama
83768193,Ayna Kahini,Razzak,"Somrat, Keya, Sohel Khan, Razzak",2013,"Romance, Drama"
83768194,Valobasha Zindabad,Debashish Biswas,"Arifin Shuvoo, Airin Sultana, Sadek Bacchu",2013,Romance
83768195,Inchi Inchi Prem,Raju Chowdhury,"Bappy Chowdhury, Bobby, Sohel Khan",2013,"Action, Drama"
83768196,Tomar Achi Tomari Thakbo,Kalam Kaisar,"Shrabon Khan, Nirjana, Moumita, Prabir Mitra, Khaleda Akter Kolpona",2013,Romance
83768197,Padma Parer Parboti,Rafiq Sikder,"Nipun Akter, Mamnun Hasan Emon, Nirab Hossain, Jayanta Chattopadhyay",2013,Romance
83768198,71 er Guerrilla,Mizanur Rahman Shamim,"Sohel Rana, Khaleda Akter Kolpona, Alexandar Bo",2013,Drama
83768145,Dabang,Azad Khan,"Zayed Khan, Bindia, Amit Hasan",2014,"Action, Romance"
83768146,Daag Ei Buker Bhetor,Bazlur Rashed Chowdhury,"Jibon Islam, Pina",2014,"Action, Romance"
83768147,Ki Darun Dekhte,Wazed Ali Sumon,"Mahiya Mahi, Bappy Chowdhury, Shah Riaz, Misha Sawdagor",2014,"Action, Romance"
83768148,Moner Moddhe Lekha,Mahmud Hossain Murad,"Sagor, Shompa, Amit Hasan",2014,Romance
83768149,Tomar Kache Rhini,Shahdat Hossain Liton,"Symon Sadik, Toma Mirza, Bobita",2014,"Romance, Drama"
83768150,Agnee,Iftakar Chowdhury,"Mahiya Mahi, Arifin Shuvoo, Misha Sawdagor, Ali Raj",2014,Action
83768151,Akash Koto Dure,Samia Zaman,"Ongkon, Faria, Razzak, Misha Sawdagor",2014,Romance
83768152,"Lobhe Paap, Paape Mrittu",Shohanur Rahman Shohan,"Riaz, Purnima, Amin Khan, Nasrin, Sadeq Bacchu",2014,"Romance, Drama"
83768153,Jibon Dhuli - The Drummer,Tanvir Mokammel,"Shatabdi Wadud, Ramendu Majumdar, Wahida Mollick Jolly",2014,"Drama, War"
83768154,Prem Ki Oporadh,Jadu Azad,"Hridoy Chowdhury, Priyanka, Ahmed Sharif",2014,Romance
83768155,Kushumpurer Golpo,Ferdous Wahid,"Palash, Moumita, Jasmine",2014,Drama
83768156,Are You Listening!,Kamar Ahmad Simon,,2014,documentary film
83768157,Shima Rekha,Deowan Nazmul,"Fahim, Faria, Bobita, Rajatava Datta",2014,Romance
83768158,Rajotto,Iftakar Chowdhury,"Bobby, Shakib Khan",2014,"Action, Romance"
83768159,Anantakaler - Forever,Masum Aziz,"Aysharjyo Birjan, Shuchitra",2014,Romance
83768160,1 No. Ashami,Raju Chowdhury,"Masum Parvez Rubel, Poly",2014,Action
83768161,Toke Valobashtei Hobe,Raju Chowdhury,"Zayed Khan, Shahara, Rina Khan",2014,"Action, Romance"
83768162,Boishommo - Journey of the heart,Adam Doula,"Abir Hossain Ongkon, Adam Doula, Mita Chowdhury",2014,Thriller
